,ttwa,laua,value
53,E30000108,E07000010,0.04507960867063111
54,E30000108,E07000152,0.06263188183387684
55,E30000108,E07000011,0.04047573374256666
56,E30000108,E07000010,0.04507960867063111
57,E30000108,E07000010,0.04507960867063111
58,E30000108,E07000152,0.06263188183387684
59,E30000108,E07000141,0.22415116056013812
60,E30000108,E06000017,0.14761173988106657
61,E30000108,E07000141,0.22415116056013812
62,E30000108,E07000152,0.06263188183387684
63,E30000108,E07000011,0.04047573374256666
64,E30000110,E06000029,0.2746495464719048
65,E30000110,E07000051,0.09883378489810343
66,E30000110,E07000049,0.08434444575332783
67,E30000110,E07000051,0.09883378489810343
68,E30000110,E06000029,0.2746495464719048
69,E30000110,E07000049,0.08434444575332783
70,E30000110,E07000049,0.08434444575332783
71,E30000124,E07000140,1.0
72,E30000135,E07000143,0.28975791433891995
73,E30000135,E07000146,0.03302296710117939
74,E30000135,E07000143,0.28975791433891995
75,E30000135,E07000146,0.03302296710117939
76,E30000135,E07000204,0.010552451893234015
77,E30000135,E07000204,0.010552451893234015
78,E30000135,E07000204,0.010552451893234015
79,E30000135,E07000146,0.03302296710117939
80,E30000135,E07000143,0.28975791433891995
81,E30000147,E07000168,0.5
82,E30000147,E07000168,0.5
83,E30000159,E07000084,0.04311905839746492
84,E30000159,E07000093,0.3438207333635129
85,E30000159,E06000054,0.026143051154368494
86,E30000159,E06000054,0.026143051154368494
87,E30000159,E07000084,0.04311905839746492
88,E30000159,E06000054,0.026143051154368494
89,E30000159,E06000054,0.026143051154368494
90,E30000159,E07000084,0.04311905839746492
91,E30000159,E07000093,0.3438207333635129
